occurrence_guid,dataset_guid,who,what,when,where,url
bb7cc395-2f92-438b-bd88-be3997c6e235,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/bb7cc395-2f92-438b-bd88-be3997c6e235,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/bb7cc395-2f92-438b-bd88-be3997c6e235
193ef70d-6d72-481f-84c7-3df97120cc90,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/193ef70d-6d72-481f-84c7-3df97120cc90,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/193ef70d-6d72-481f-84c7-3df97120cc90
366f32fb-5197-4643-97a7-1e5dff95592e,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/366f32fb-5197-4643-97a7-1e5dff95592e,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/366f32fb-5197-4643-97a7-1e5dff95592e
5b50c08d-51e1-499b-8a0a-299a79c66e67,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/5b50c08d-51e1-499b-8a0a-299a79c66e67,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/5b50c08d-51e1-499b-8a0a-299a79c66e67
2cb64d57-1a90-40d3-b186-ca0d3183df2a,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/2cb64d57-1a90-40d3-b186-ca0d3183df2a,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/2cb64d57-1a90-40d3-b186-ca0d3183df2a
66aebb18-6a64-4119-804e-14e05885036f,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/66aebb18-6a64-4119-804e-14e05885036f,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/66aebb18-6a64-4119-804e-14e05885036f
1a76dd34-1e0a-496c-a449-dec2c46feba8,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/1a76dd34-1e0a-496c-a449-dec2c46feba8,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/1a76dd34-1e0a-496c-a449-dec2c46feba8
47d04f7e-73fa-4cc7-b50a-89eeefdcd162,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/47d04f7e-73fa-4cc7-b50a-89eeefdcd162,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/47d04f7e-73fa-4cc7-b50a-89eeefdcd162
9e1dfd76-c2db-4f7c-adf8-ca4f39930c4b,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/9e1dfd76-c2db-4f7c-adf8-ca4f39930c4b,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/9e1dfd76-c2db-4f7c-adf8-ca4f39930c4b
9f5e08ea-1c12-4f13-9c49-de4957bfcb97,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/9f5e08ea-1c12-4f13-9c49-de4957bfcb97,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/9f5e08ea-1c12-4f13-9c49-de4957bfcb97
3e836eef-eb63-41c8-b727-fa312b7c5035,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/3e836eef-eb63-41c8-b727-fa312b7c5035,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/3e836eef-eb63-41c8-b727-fa312b7c5035
7a08f9c8-7854-437a-80e7-dd6fa340d987,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/7a08f9c8-7854-437a-80e7-dd6fa340d987,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/7a08f9c8-7854-437a-80e7-dd6fa340d987
8cc6dd10-9163-41d5-9992-3e121f6cd61a,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/8cc6dd10-9163-41d5-9992-3e121f6cd61a,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/8cc6dd10-9163-41d5-9992-3e121f6cd61a
e06d25aa-50ff-4284-ade4-37aecfd46c84,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/e06d25aa-50ff-4284-ade4-37aecfd46c84,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/e06d25aa-50ff-4284-ade4-37aecfd46c84
2c1becd5-e641-4e83-b3f5-76a55206539a,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/2c1becd5-e641-4e83-b3f5-76a55206539a,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/2c1becd5-e641-4e83-b3f5-76a55206539a
a413b456-0bff-47da-ab26-f074d9be5219,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/a413b456-0bff-47da-ab26-f074d9be5219,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/a413b456-0bff-47da-ab26-f074d9be5219
fa7dd78f-8c91-49f5-b01c-f61b3d30caee,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/fa7dd78f-8c91-49f5-b01c-f61b3d30caee,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/fa7dd78f-8c91-49f5-b01c-f61b3d30caee
ca2eb40e-a379-4adf-bb63-e0c620c75bcd,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/ca2eb40e-a379-4adf-bb63-e0c620c75bcd,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/ca2eb40e-a379-4adf-bb63-e0c620c75bcd
39dcd82f-3378-44f6-b84d-a28f857df0ff,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1990-6-20,http://spcoco.org/ark:/39dcd82f-3378-44f6-b84d-a28f857df0ff,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/39dcd82f-3378-44f6-b84d-a28f857df0ff
0b1a45db-1702-4c51-bbd9-177b683e5ee9,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/0b1a45db-1702-4c51-bbd9-177b683e5ee9,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/0b1a45db-1702-4c51-bbd9-177b683e5ee9
8b885675-e321-4e8b-b620-dc4594e2024f,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/8b885675-e321-4e8b-b620-dc4594e2024f,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/8b885675-e321-4e8b-b620-dc4594e2024f
65386958-8848-4c04-95d4-94d2445f6406,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/65386958-8848-4c04-95d4-94d2445f6406,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/65386958-8848-4c04-95d4-94d2445f6406
6520b2ff-3104-49d5-998c-1bc79c4ca28d,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/6520b2ff-3104-49d5-998c-1bc79c4ca28d,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/6520b2ff-3104-49d5-998c-1bc79c4ca28d
b2b67c2d-368e-46ee-9901-ee54b3b6f6cc,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/b2b67c2d-368e-46ee-9901-ee54b3b6f6cc,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/b2b67c2d-368e-46ee-9901-ee54b3b6f6cc
0d86284d-6042-423d-b662-807b6f09dba5,56caf05f-1364-4f24-85f6-0c82520c2792,University of Kansas Biodiversity Institute Fish Tissue Collection,MaterialSample,1991-6-25,http://spcoco.org/ark:/0d86284d-6042-423d-b662-807b6f09dba5,http://preview.specifycloud.org//export/record/56caf05f-1364-4f24-85f6-0c82520c2792/0d86284d-6042-423d-b662-807b6f09dba5
